study,TP,FN,FP,TN,cutoff-grp,type,cutoff
1,12,0,29,289,1,SQ,15
2,10,2,14,72,2,SQ,1000
3,17,1,36,85,1,SQ,15
4,13,0,18,67,2,SQ,1000
5,4,0,21,225,1,SQ,15
6,15,2,122,403,1,SQ,15
7,45,5,28,34,2,SQ,1000
8,18,4,69,133,2,SQ,1000
9,5,0,11,34,1,SQ,15
10,8,9,15,96,2,SQ,1000
11,5,0,7,63,3,SQ,any-growth
12,11,2,122,610,1,SQ,15
13,5,1,6,145,1,SQ,15
14,7,5,25,342,1,SQ,15
15,10,1,93,296,1,SQ,15
16,5,5,41,271,1,SQ,15
17,5,0,15,53,1,SQ,15
18,55,13,19,913,1,SQ,15
19,6,2,12,30,2,SQ,1000
20,42,26,19,913,1,Q,15
21,5,3,5,37,2,Q,1000
22,13,0,11,125,2,Q,1000
23,20,0,24,287,2,Q,1000
24,7,6,13,72,2,Q,1000
25,48,2,15,47,2,Q,1000
26,11,1,14,72,2,Q,1000
27,15,5,32,170,2,Q,1000
28,68,13,5,11,2,Q,1000
29,13,1,5,72,2,Q,1000
30,8,3,66,323,1,Q,15
31,13,1,98,293,2,Q,1000
32,14,1,0,155,3,Q,4-fold
33,8,2,4,60,2,Q,1000